Time,User,Tweet
2022-04-25 12:17:47+00:00,NDRFHQ,cssr op stori const build collaps satya niketan new delhi ndrfghaziabad rescu live victim unconsci state debri cut fallen wall op continu hmoindia bhallaajay atulkarw pibhomeaffair
2022-04-14 03:12:30+00:00,NDRFHQ,honbl pm sh narendramodi virtual interact personnel involv ropeway rescu oper deoghar hail heroic effort coordin stakehold watch telecast committedserv
2022-04-13 18:04:03+00:00,NDRFHQ,committedserv aapdasevaalwayssarvatra
2022-04-11 07:57:45+00:00,NDRFHQ,rescu oper underway ropeway trikut devghar jh multi agenc coordin rescu person trolli op continu disasterservicealwayseverywher hmoindia bhallaajay ranchipib pibhomeaffair ndrfp
2022-04-10 04:30:55+00:00,NDRFHQ,whenev date written struggl written result braveri solemn valourday ceremoni crpfindia sh ajay kumar bhalla home secretari present gallantri medal sh atulkarw dg ndrf counter terror op srinagar
2022-04-09 17:57:27+00:00,NDRFHQ,humbl tribut brave crpf personnel made suprem sacrific battl sardar post gujarat pakistani brigad attack crpf valourday
2022-04-08 14:05:51+00:00,NDRFHQ,confer capac build disast respons discuss held humanitarian relief capac build sdrfcdhg fs role major stake holder emerg role ngos dm initi best practic sdrfs ani pibindia pibhomeaffair
2022-04-08 14:01:41+00:00,NDRFHQ,confer capac build disast respons conclud dr p k mishra princip secretari honbl pm grace valedictori session chief guest share view strengthen capac build pibhomeaffair ani
2022-04-08 04:11:22+00:00,NDRFHQ,annual confer capac build disast respons day apr
2022-04-07 15:52:36+00:00,NDRFHQ,confer capac build disast respons honbl home affair cooper minist sh amitshah presid inaugur session applaud ndrfs achiev stress need stakehold reach upto panchayat level pibhomeaffair ani
2022-04-07 08:58:58+00:00,NDRFHQ,annual confer capac build disast respons
2022-04-07 04:09:27+00:00,NDRFHQ,annual confer capac build disast respons
2022-04-06 15:37:59+00:00,NDRFHQ,confer capac build disast respons inaugur honbl home affair cooper minist sh amitshah th april confer annual organis ndrfhq synergi stakehold pibindia pibhomeaffair ani
2022-03-24 13:09:20+00:00,NDRFHQ,dg ndrf sh atulkarw rank convey warm greet best wish personnel assamrifl th raisingday savinglivesandbeyond officialdgar bnndrf
